Id,Age,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration,Calories_Burned,Fat_Percentage,Water_Intake,Workout_Frequency,BMI
1,56,88.3,1.71,180,157,60,1.69,1313,12.6,3.5,4,30.2
2,46,74.9,1.53,179,151,66,1.3,883,33.9,2.1,4,32
3,32,68.1,1.66,167,122,54,1.11,677,33.4,2.3,4,24.71
4,25,53.2,1.7,190,164,56,0.59,532,28.8,2.1,3,18.41
5,38,46.1,1.79,188,158,68,0.64,556,29.2,2.8,3,14.39
6,56,58,1.68,168,156,74,1.59,1116,15.5,2.7,5,20.55
7,36,70.3,1.72,174,169,73,1.49,1385,21.3,2.3,3,23.76
8,40,69.7,1.51,189,141,64,1.27,895,30.6,1.9,3,30.57
9,28,121.7,1.94,185,127,52,1.03,719,28.9,2.6,4,32.34
10,28,101.8,1.84,169,136,64,1.08,808,29.7,2.7,3,30.07
11,41,120.8,1.67,188,146,54,0.82,593,20.5,3,2,43.31
12,53,51.7,1.7,175,152,72,1.15,865,23.6,3.5,3,17.89
13,57,112.5,1.61,195,165,61,1.24,1013,22.1,2.7,3,43.4
14,41,94.5,2,179,136,69,1.18,794,27.6,3.7,3,23.62
15,20,117.7,1.81,196,161,54,1.35,1195,26.4,3.3,3,35.93
16,39,42.5,1.75,181,131,52,1.13,740,26.2,2.1,2,13.88
17,19,64,1.53,166,167,58,1.33,1111,29.8,2.3,3,27.34
18,41,43.8,1.77,182,165,58,1.19,884,31.9,1.6,3,13.98
19,47,66.8,1.75,199,146,56,1.13,742,32.8,2.5,3,21.81
20,55,75.2,1.67,188,167,51,1.37,1030,25.2,2.2,2,26.96
21,19,89,1.77,175,127,72,1.5,1048,28.9,3.7,4,28.41
22,38,71.9,1.77,197,142,72,1.12,875,25.7,3.1,2,22.95
23,50,71,1.68,187,161,70,1.17,848,33.1,2.5,2,25.16
24,29,120.9,1.78,197,168,65,0.78,721,28.1,3.4,2,38.16
25,39,64.3,1.69,190,148,58,1.25,925,26.9,1.9,4,22.51
26,42,63.7,1.71,173,169,62,1.42,1080,26.1,1.8,3,21.78
27,44,65.2,1.8,192,139,68,0.73,502,27.2,2.7,2,20.12
28,59,53.9,1.75,168,135,69,1.48,989,21.6,2.8,4,17.6
29,45,84.9,1.86,186,136,66,1.64,1104,14.2,3.5,5,24.54
30,33,78,1.68,183,135,55,1.29,871,32.3,1.8,3,27.64
31,32,108.2,1.8,172,138,53,1.27,964,28.4,3.5,3,33.4
32,20,65.4,1.52,185,127,50,1.03,654,28,2.2,4,28.31
33,54,50.2,1.61,188,157,67,1.48,1046,28.2,2.7,2,19.37
34,24,58.9,1.51,187,157,68,1.04,816,31.7,2.5,2,25.83
35,38,81.4,1.71,187,148,58,1.52,1237,10.2,3.5,5,27.84
36,26,127.6,1.73,167,160,62,1.32,1162,27.3,2.9,3,42.63
37,56,59.3,1.56,182,155,57,1.26,879,33.4,2.6,4,24.37
38,35,96.9,1.71,188,145,72,1.34,1069,24.2,2.9,3,33.14
39,21,62.6,1.81,164,150,62,1.3,1072,27.6,3.5,4,19.11
40,42,45.5,1.6,166,163,64,1.31,1057,21.7,2.6,3,17.77
41,31,48.8,1.51,195,131,60,1.48,969,28.2,2,2,21.4
42,26,44.3,1.6,186,136,61,1.08,734,34.7,2,3,17.3
43,43,113.2,1.83,161,134,63,1.45,962,29.9,2.9,4,33.8
44,19,60.5,1.59,184,128,53,1.14,730,30.1,2.2,2,23.93
45,37,124.2,1.76,168,158,50,1.5,1304,29.3,2.8,2,40.1
46,45,52.4,1.85,186,161,73,1.2,956,25.2,2.5,3,15.31
47,24,54.7,1.74,160,167,53,0.84,772,22.9,3.6,3,18.07
48,25,88.1,1.95,182,131,68,1.41,1016,22.7,3,2,23.17
49,52,59.7,1.71,169,151,58,1.23,836,34.3,2,3,20.42
50,31,79.7,1.54,184,144,59,1.03,742,26.7,2.3,4,33.61
51,34,51,1.62,162,158,53,1.42,1122,30.8,2.4,3,19.43
52,53,84.2,1.76,165,137,69,1.67,1133,12.8,3.5,5,27.18
53,57,122.1,1.89,165,134,58,1.13,750,27.4,3.6,3,34.18
54,21,96.7,1.72,161,151,62,1.26,1046,25,2.8,3,32.69
55,19,73,1.79,177,125,61,0.81,506,27.7,1.6,3,22.78
56,23,114.8,1.6,182,163,60,1.47,1318,21.7,2.7,4,44.84
57,59,65.5,1.52,161,162,61,1.4,1021,31.2,2.1,3,28.35
58,21,50.3,1.52,171,154,67,1.08,832,32.2,2.6,3,21.77
59,46,61,1.71,181,153,61,1.67,1150,17.8,2.7,4,20.86
60,35,44.6,1.62,196,157,65,0.56,440,32.4,2,2,16.99
61,43,58.2,1.61,179,124,54,1.04,580,26.4,2.6,3,22.45
62,51,44.8,1.63,198,137,69,1.08,666,33.8,2.1,4,16.86
63,27,87.5,1.63,183,135,74,1.75,1299,12.9,3.5,5,32.93
64,53,51.8,1.74,179,127,61,1.23,773,21.3,3.7,3,17.11
65,31,64.4,1.7,160,144,70,1.97,1418,17.3,2.7,5,22.28
66,48,67.1,1.61,160,151,74,0.62,421,33.4,1.5,2,25.89
67,32,85.9,1.6,176,145,60,1.99,1587,14.5,3.5,5,33.55
68,25,65.4,1.77,160,141,58,0.89,627,27.6,2.6,3,20.88
69,31,61.1,1.76,189,150,67,1.81,1358,18.6,2.7,4,19.72
70,40,106.5,1.65,162,162,74,1.32,1176,21,3.6,4,39.12
71,57,64,1.52,170,129,52,1.73,1004,15.2,2.7,5,27.7
72,38,61.4,1.54,183,131,69,1.47,963,30.6,2.7,3,25.89
73,33,40.5,1.63,181,147,66,1.07,786,31.9,1.5,4,15.24
74,35,70.1,1.79,185,125,63,1.08,743,28,2.3,3,21.88
75,41,94.1,1.62,172,139,50,1.13,777,23.4,3.1,4,35.86
76,43,55.5,1.82,160,124,66,1.08,663,20.1,2,3,16.76
77,42,53.7,1.72,183,142,74,1.37,875,29.8,1.6,3,18.15
78,58,66.1,1.75,169,128,57,0.63,363,25.2,1.8,2,21.58
79,46,103.9,1.77,194,148,54,1.18,864,20.9,2.9,2,33.16
80,32,61.7,1.58,183,135,54,1.87,1262,16.6,2.7,5,24.72
81,18,52.3,1.74,187,165,58,1.2,990,29.4,2.2,2,17.27
